CountryName,CountryCode,Year,CO2_emissions,InternetUsers,GDP_per_capita,LiteracyRate,Physicians,HealthExpenditure,Unemployment,InfantMortality,LifeExpectancy,Population,Region,IncomeGroup,Region_Encoded,IncomeGroup_Encoded
Tuvalu,TUV,2006,0.723488211502417,13.66,2259.33327866066,,,11.577421367500001,6.35300016403198,28.9,,10137.0,East Asia & Pacific,Upper middle income,0,4
Uganda,UGA,2006,0.0858716464626072,2.529363038,336.459392347713,71.3731384277344,,11.577421367500001,2.12299990653992,64.0,53.681,29550662.0,Sub-Saharan Africa,Low income,6,1
Ukraine,UKR,2006,6.97680495428825,4.506124564,2300.77147954494,,3.125,6.18080445,6.80999994277954,12.0,68.0775609756098,46787750.0,Europe & Central Asia,Lower middle income,1,2
United Arab Emirates,ARE,2006,14.808246413632371,52.0,30637.443815953535,,,2.32541382,2.77300000190735,8.1,75.632,5242032.0,Middle East & North Africa,High income,3,0
United Kingdom,GBR,2006,8.89871022018899,68.479743898,30637.443815953535,,,7.32728259,5.34999990463257,5.0,79.2487804878049,60846820.0,Europe & Central Asia,High income,1,0
United States,USA,2006,14.808246413632371,68.479743898,30637.443815953535,,2.402,11.577421367500001,4.6230001449585,6.7,77.6878048780488,298379912.0,North America,High income,4,0
Upper middle income,UMC,2006,5.04136495100357,13.8573268297197,3653.80534311281,92.4173812866211,,5.13850898654457,5.82747609924861,20.3,72.768119823519,2369650785.0,,,7,3
Uruguay,URY,2006,1.99585265035606,29.4,5877.87607846966,97.7896270751953,,8.51988335,10.8439998626709,11.7,75.961,3331043.0,Latin America & Caribbean,High income,2,0
Uzbekistan,UZB,2006,4.5412060441894,6.388321967,654.283837283285,,,4.94939879,5.84999990463257,39.8,68.663,26488250.0,Europe & Central Asia,Lower middle income,1,2
Vanuatu,VUT,2006,0.222103674161596,5.850585059,2047.09782277757,,,3.32189312,5.7810001373291,23.8,69.541,214634.0,East Asia & Pacific,Lower middle income,0,2
"Venezuela, RB",VEN,2006,6.2231860018632,15.22471148,6735.79758838059,,,5.18018866,8.60599994659424,15.4,73.235,27239168.0,Latin America & Caribbean,Upper middle income,2,4
Vietnam,VNM,2006,1.20742858505374,17.25456172,779.974893324258,,0.621,5.3919969,2.17400002479553,19.4,74.438,85094617.0,East Asia & Pacific,Lower middle income,0,2
Virgin Islands (U.S.),VIR,2006,2.91508151810172,27.33261054,30637.443815953535,,,5.46509211,8.47200012207031,22.1,78.4756097560976,108371.0,Latin America & Caribbean,High income,2,0
West Bank and Gaza,PSE,2006,0.665291777024802,18.41,1441.46170046742,93.4500122070313,,5.46509211,16.225250840187073,21.7,71.773,3406334.0,Middle East & North Africa,Lower middle income,3,2
World,WLD,2006,4.63077209363736,17.4925263247273,7796.60622027907,82.9978179931641,,9.20471106556648,5.24797163128715,43.2,69.4749668237429,6601083228.0,,,7,3
"Yemen, Rep.",YEM,2006,1.00735978591088,1.247824049,900.826916094261,,,5.52930147,11.6059999465942,52.0,62.205,21160534.0,Middle East & North Africa,Low income,3,1
Zambia,ZMB,2006,0.185075705098565,4.159913394,1030.15419934654,,0.052,5.87367326,12.5,62.7,50.929,12383446.0,Sub-Saharan Africa,Lower middle income,6,2
Zimbabwe,ZWE,2006,0.796027922930858,2.4,414.796232048617,,,5.46509211,4.06699991226196,60.0,46.344,13124267.0,Sub-Saharan Africa,Low income,6,1
